Title,Price,Area,Area-Type
"2 BHK Flat for Sale in Kadri, Mangalore",₹1.03 Cr,1525 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹1.35 Cr,2005 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹1.53 Cr,2270 sqft,Super Area
"2 BHK Flat for Sale in Derebail, Mangalore",₹60 Lac,1091 sqft,Super Area
"2 BHK Flat for Sale in Kuntikana, Mangalore",Call for Price,1400 sqft,Super Area
"2 BHK Flat for Sale in Shakti Nagar, Mangalore",₹32.4 Lac,560 sqft,Super Area
"2 BHK Flat for Sale in Mukka, Mangalore",₹35 Lac,1250 sqft,Super Area
"3 BHK Flat for Sale in Kankanady, Mangalore",₹1.08 Cr,1780 sqft,Super Area
"3 BHK Flat for Sale in Shakti Nagar, Mangalore",₹81 Lac,1542 sqft,Super Area
"3 BHK Flat for Sale in Bikarnakatta, Mangalore",₹85 Lac,1800 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹50 Lac,1170 sqft,Super Area
"3 BHK Flat for Sale in Moodabidri, Mangalore",₹30 Lac,1500 sqft,Super Area
"2 BHK Flat for Sale in Thokkttu, Mangalore",₹52 Lac,1210 sqft,Super Area
"3 BHK Flat for Sale in Moodabidri, Mangalore",₹48 Lac,1450 sqft,Carpet Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹30 Lac,690 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹45.3 Lac,1090 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹41.7 Lac,1005 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹47.3 Lac,1140 sqft,Super Area
"2 BHK Flat for Sale in Urwa, Mangalore",₹67 Lac,1100 sqft,Super Area
"3 BHK Flat for Sale in Padukodi, Mangalore",₹1249.50 Cr,1470 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹72 Lac,1450 sqft,Carpet Area
"3 BHK Flat for Sale in Chilimbi, Mangalore",₹2.81 Cr,2100 sqft,Super Area
"2 BHK Flat for Sale in Mangala Nagar, Mangalore",₹67 Lac,1150 sqft,Carpet Area
"3 BHK Flat for Sale in Pandeshwar, Mangalore",₹65 Lac,1650 sqft,Carpet Area
"Apartment for Sale in Kodailbail, Mangalore",₹75 Lac,1175 sqft,Super Area
"3 BHK Flat for Sale in Derebail, Mangalore",₹1.12 Cr,1450 sqft,Carpet Area
"1 BHK Flat for Sale in Kankanady, Mangalore",₹11 Lac,300 sqft,Carpet Area
"3 BHK Flat for Sale in Lalbagh, Mangalore",₹1 Cr,1500 sqft,Carpet Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹45 Lac,1170 sqft,Carpet Area
2 BHK Flat for Sale in Mangalore,₹28 Lac,630 sqft,Super Area
"3 BHK Flat for Sale in Bendoorwell, Mangalore",₹3409.06 Cr,2132 sqft,Super Area
"2 BHK Flat for Sale in Bondel, Mangalore",₹79.1 Lac,931 sqft,Carpet Area
"2 BHK Flat for Sale in Derebail, Mangalore",₹65 Lac,1091 sqft,Super Area
2 BHK Flat for Sale in Mangalore,Call for Price,1060 sqft,Carpet Area
"2 BHK Flat for Sale in Kottara Chowk, Mangalore",₹57 Lac,1175 sqft,Super Area
"2 BHK Flat for Sale in Derebail, Mangalore",₹60.1 Lac,980 sqft,Carpet Area
"4 BHK Flat for Sale in Bendoorwell, Mangalore",₹5247.01 Cr,2645 sqft,Super Area
"2 BHK Flat for Sale in Kadri, Mangalore",₹98.4 Lac,1405 sqft,Super Area
