Price,Area,BHK,Location,Type,Price_num,Price/Sqft
41.9 Lac,932.0,2,Kulshekar,Flat,4190000.0,4496.0
79 Lac,1360.0,3,Derebail,Flat,7900000.0,5809.0
32.6 Lac,701.0,1,Kulshekar,Flat,3260000.0,4650.0
80 Lac,2580.0,3,Kadri,Flat,8000000.0,3101.0
42 Lac,2100.0,3,Kuttar,Flat,4200000.0,2000.0
42 Lac,1410.0,2,Nagar,Flat,4200000.0,2979.0
1.73 Cr,2299.0,3,Ladyhill,Flat,17300000.0,7525.0
1.56 Cr,1987.0,3,Kudroli,Flat,15600000.0,7851.0
69 Lac,1055.0,2,Bejai,Flat,6900000.0,6540.0
2.52 Cr,3366.0,4,Ladyhill,Flat,25200000.0,7487.0
55 Lac,1150.0,2,Derebail,Flat,5500000.0,4783.0
40 Lac,1400.0,2,Thokkttu,Flat,4000000.0,2857.0
48 Lac,1875.0,3,Derebail,Flat,4800000.0,2560.0
45 Lac,1200.0,2,Others,Flat,4500000.0,3750.0
42 Lac,1047.0,2,Others,Flat,4200000.0,4011.0
65 Lac,1755.0,2,Kadri,Flat,6500000.0,3704.0
50 Lac,1400.0,3,Road,Flat,5000000.0,3571.0
90 Lac,2625.0,3,Mallikatte,Flat,9000000.0,3429.0
1.31 Cr,1625.0,3,Bejai,Flat,13100000.0,8062.0
48 Lac,1200.0,2,Surathkal,Flat,4800000.0,4000.0
1.77 Cr,2363.0,3,Ladyhill,Flat,17700000.0,7490.0
3.98 Cr,4291.0,3,Kudroli,Flat,39800000.0,9275.0
1.62 Cr,2074.0,3,Kudroli,Flat,16200000.000000002,7811.0
1.54 Cr,1967.0,3,Kudroli,Flat,15400000.0,7829.0
1.88 Cr,1715.0,2,Kudroli,Flat,18800000.0,10962.0
1.20 Cr,1870.0,3,Kulai,Flat,12000000.0,6417.0
663.06 Cr,1010.0,2,Urwa,Flat,6630599999.999999,6564950.0
58 Lac,1120.0,2,Kavoor,Flat,5800000.0,5179.0
57 Lac,1780.5,2,Kulshekar,Flat,5700000.0,3201.0
1.50 Cr,1940.0,3,Kadri,Flat,15000000.0,7732.0
69 Lac,1582.5,2,Others,Flat,6900000.0,4360.0
1.05 Cr,1279.0,2,Road,Flat,10500000.0,8210.0
1.95 Cr,3111.0,3,Others,Flat,19500000.0,6268.0
1.30 Cr,2670.0,3,Derebail,Flat,13000000.0,4869.0
18 Lac,450.0,1,Kulshekar,Flat,1800000.0,4000.0
15.7 Lac,800.0,2,Kulashekara,Flat,1570000.0,1962.0
45 Lac,1170.0,2,Kulashekara,Flat,4500000.0,3846.0
99 Lac,2377.5,2,Urwa,Flat,9900000.0,4164.0
53 Lac,1725.0,2,Kulshekar,Flat,5300000.0,3072.0
26 Lac,850.0,2,Road,Flat,2600000.0,3059.0
32 Lac,1000.0,2,Attavar,Flat,3200000.0,3200.0
25 Lac,470.0,1,Bondel,Flat,2500000.0,5319.0
1.85 Cr,2237.0,4,Bejai,Flat,18500000.0,8270.0
1.05 Cr,1278.0,2,Bejai,Flat,10500000.0,8216.0
40 Lac,1035.0,2,Derlakatte,Flat,4000000.0,3865.0
30 Lac,980.0,2,Others,Flat,3000000.0,3061.0
932.20 Cr,1154.0,2,Chilimbi,Flat,9322000000.0,8077990.0
65 Lac,2025.0,3,Urwa,Flat,6500000.0,3210.0
62 Lac,1550.0,3,Kulashekara,Flat,6200000.0,4000.0
85 Lac,2775.0,3,Others,Flat,8500000.0,3063.0
58 Lac,1500.0,2,Bendoor,Flat,5800000.0,3867.0
45 Lac,1590.0,2,Pandeshwar,Flat,4500000.0,2830.0
1.15 Cr,1345.0,2,Road,Flat,11500000.0,8550.0
